seed,true_label,attn_rgb,attn_ir,attn_gas
0,0,0.31763938069343567,0.36673271656036377,0.3156278431415558
0,1,0.33128276467323303,0.35742709040641785,0.31129011511802673
0,1,0.4853145182132721,0.5146854519844055,0.0
0,0,0.2986645996570587,0.3655344247817993,0.33580097556114197
0,1,0.32690539956092834,0.3761127293109894,0.29698190093040466
0,0,0.4822638928890228,0.5177361369132996,0.0
0,1,0.49139073491096497,0.5086092352867126,0.0
0,0,0.3130282461643219,0.33934417366981506,0.34762755036354065
0,1,0.3114137351512909,0.3382090628147125,0.3503771722316742
0,0,0.3379928171634674,0.35289356112480164,0.30911362171173096
0,1,0.34519803524017334,0.351464182138443,0.30333778262138367
1,0,0.318482369184494,0.32845380902290344,0.3530639111995697
1,1,0.35095250606536865,0.29719045758247375,0.35185706615448
1,1,0.521543025970459,0.478456974029541,0.0
1,0,0.3349442481994629,0.3215205669403076,0.3435351848602295
1,1,0.3735646903514862,0.28780195116996765,0.3386334180831909
1,0,0.5153756737709045,0.48462435603141785,0.0
1,1,0.5250465273857117,0.4749535024166107,0.0
1,0,0.35497698187828064,0.2950287163257599,0.3499942719936371
1,1,0.3719060719013214,0.2925301492214203,0.3355637490749359
1,0,0.30837932229042053,0.32652363181114197,0.36509713530540466
1,1,0.31679394841194153,0.3296438753604889,0.35356220602989197
2,0,0.3361489474773407,0.36819276213645935,0.29565832018852234
2,1,0.37063243985176086,0.3151816427707672,0.31418588757514954
2,1,0.5219395160675049,0.4780604839324951,0.0
2,0,0.36221298575401306,0.32504138350486755,0.3127456307411194
2,1,0.3606283664703369,0.33238229155540466,0.3069893419742584
2,0,0.4937383234500885,0.5062616467475891,0.0
2,1,0.5132097601890564,0.4867902100086212,0.0
2,0,0.3495810925960541,0.30436763167381287,0.34605133533477783
2,1,0.34514081478118896,0.2977049648761749,0.3571542501449585
2,0,0.3504137694835663,0.33681735396385193,0.3127689063549042
2,1,0.3669365644454956,0.32420745491981506,0.30885598063468933
3,0,0.32759130001068115,0.34640195965766907,0.3260067403316498
3,1,0.35298117995262146,0.33700332045555115,0.3100155293941498
3,1,0.44715073704719543,0.552849292755127,0.0
3,0,0.3293922245502472,0.3467234671115875,0.3238843083381653
3,1,0.32813188433647156,0.3589637279510498,0.31290435791015625
3,0,0.491286963224411,0.5087130665779114,0.0
3,1,0.48396506905555725,0.5160349011421204,0.0
3,0,0.3245682418346405,0.33867812156677246,0.33675360679626465
3,1,0.33732175827026367,0.32989072799682617,0.33278748393058777
3,0,0.3257264792919159,0.3438819348812103,0.3303915560245514
3,1,0.31876906752586365,0.3558218777179718,0.32540905475616455
4,0,0.33973440527915955,0.3146653175354004,0.34560027718544006
4,1,0.3246120512485504,0.3300340473651886,0.3453538715839386
4,1,0.5186653733253479,0.4813346862792969,0.0
4,0,0.354649156332016,0.31523504853248596,0.33011579513549805
4,1,0.3565492630004883,0.30577683448791504,0.3376738727092743
4,0,0.5056164860725403,0.49438348412513733,0.0
4,1,0.501310408115387,0.49868956208229065,0.0
4,0,0.33813539147377014,0.32064929604530334,0.3412152826786041
4,1,0.3376554548740387,0.33655115962028503,0.32579338550567627
4,0,0.34001651406288147,0.317001610994339,0.34298190474510193
4,1,0.3470328152179718,0.3206310570240021,0.3323361277580261
5,0,0.3148510754108429,0.35088396072387695,0.33426499366760254
5,1,0.330603688955307,0.2978304326534271,0.37156590819358826
5,1,0.49588653445243835,0.504113495349884,0.0
5,0,0.35303425788879395,0.31706419587135315,0.3299016058444977
5,1,0.3479652404785156,0.31517788767814636,0.336856871843338
5,0,0.5069854855537415,0.49301454424858093,0.0
5,1,0.492727667093277,0.5072723031044006,0.0
5,0,0.32547202706336975,0.32311224937438965,0.3514157235622406
5,1,0.34071728587150574,0.32295718789100647,0.3363255560398102
5,0,0.33163270354270935,0.3213585615158081,0.34700873494148254
5,1,0.31687960028648376,0.347562313079834,0.33555805683135986
6,0,0.2988688349723816,0.3380732834339142,0.36305785179138184
6,1,0.3003859221935272,0.3498944342136383,0.3497196435928345
6,1,0.4488784074783325,0.5511216521263123,0.0
6,0,0.3301037847995758,0.3279842436313629,0.3419119417667389
6,1,0.3622242212295532,0.3325006663799286,0.3052751123905182
6,0,0.46296167373657227,0.537038266658783,0.0
6,1,0.48190733790397644,0.518092691898346,0.0
6,0,0.2839772403240204,0.37011805176734924,0.34590473771095276
6,1,0.2940877676010132,0.37760114669799805,0.32831111550331116
6,0,0.34472715854644775,0.34046220779418945,0.3148106336593628
6,1,0.3440258502960205,0.33251723647117615,0.32345694303512573
7,0,0.3420538008213043,0.32355669140815735,0.33438947796821594
7,1,0.34775257110595703,0.3184488117694855,0.3337986171245575
7,1,0.5317636132240295,0.46823635697364807,0.0
7,0,0.3310122787952423,0.33366307616233826,0.3353246748447418
7,1,0.34046414494514465,0.3345366418361664,0.32499930262565613
7,0,0.49874940514564514,0.5012505650520325,0.0
7,1,0.5095100402832031,0.4904899597167969,0.0
7,0,0.37195444107055664,0.30584749579429626,0.3221980631351471
7,1,0.3570840358734131,0.3264341950416565,0.3164817988872528
7,0,0.3337188959121704,0.3378351628780365,0.3284459412097931
7,1,0.34109750390052795,0.34554973244667053,0.31335267424583435
8,0,0.32240191102027893,0.3333381712436676,0.3442598581314087
8,1,0.3309258222579956,0.30682191252708435,0.3622523248195648
8,1,0.5231249928474426,0.476874977350235,0.0
8,0,0.33542656898498535,0.3124467730522156,0.35212668776512146
8,1,0.32086649537086487,0.31882810592651367,0.36030545830726624
8,0,0.5225340723991394,0.47746598720550537,0.0
8,1,0.5087862610816956,0.49121370911598206,0.0
8,0,0.3287713825702667,0.3103351294994354,0.36089348793029785
8,1,0.32473084330558777,0.31687331199645996,0.3583958148956299
8,0,0.3426063060760498,0.31153830885887146,0.34585532546043396
8,1,0.3344314992427826,0.3007954955101013,0.3647730350494385
9,0,0.33988669514656067,0.32298561930656433,0.3371276557445526
9,1,0.3214204013347626,0.3289841413497925,0.34959545731544495
9,1,0.4819314181804657,0.5180686116218567,0.0
9,0,0.33339357376098633,0.3400144577026367,0.32659196853637695
9,1,0.3507404327392578,0.32108086347579956,0.328178733587265
9,0,0.49627456068992615,0.5037254691123962,0.0
9,1,0.4950971305370331,0.5049028992652893,0.0
9,0,0.3291916251182556,0.345822811126709,0.324985533952713
9,1,0.315136581659317,0.34945669770240784,0.33540666103363037
9,0,0.3236081302165985,0.338775634765625,0.3376162052154541
9,1,0.31753262877464294,0.3389234244823456,0.3435439169406891
